,region_origen,aglomerado_origen,alojamiento,motivo_viaje,aire_libre,naturaleza
0,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.",Visitas a familiares o amigos,No,No
1,Litoral,Gran Rosario,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
2,Cuyo,Gran Mendoza,Vivienda de familiares o amigos que  residen en ella,Visitas a familiares o amigos,Si,No
3,Cuyo,Gran Mendoza,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
4,Centro,Gran Córdoba,"Hotel 4 y 5 estrellas, apart hotel o similares",Visitas a familiares o amigos,Si,Si
5,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
6,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
7,Litoral,Gran Rosario,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
8,Litoral,Gran Rosario,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
9,Litoral,Concordia,"Camping (carpa, casa rodante)","Esparcimiento, ocio, recreacion",Si,Si
10,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",Si,Si
11,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",Si,Si
12,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",Si,Si
13,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",Si,Si
14,Norte,Salta,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.",Otros,Si,Si
15,Norte,Santiago del Estero - La Banda,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,No
16,Norte,Santiago del Estero - La Banda,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,No
17,Litoral,Gran Rosario,Vivienda alquilada por temporada,"Esparcimiento, ocio, recreacion",Si,Si
18,Norte,Gran Tucumán - TafiViejo,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.",Otros,Si,Si
19,Litoral,Gran Rosario,Vivienda de familiares o amigos que  residen en ella,Visitas a familiares o amigos,No,No
20,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
21,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
22,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
23,Norte,Santiago del Estero - La Banda,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
24,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
25,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
26,Centro,Gran Córdoba,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
27,Cuyo,Gran San Juan,"Hotel 4 y 5 estrellas, apart hotel o similares","Esparcimiento, ocio, recreacion",Si,Si
28,Cuyo,Gran San Juan,"Hotel 4 y 5 estrellas, apart hotel o similares","Esparcimiento, ocio, recreacion",Si,Si
29,Norte,Salta,Vivienda alquilada por temporada,"Esparcimiento, ocio, recreacion",No,No
30,Norte,Salta,Vivienda alquilada por temporada,"Esparcimiento, ocio, recreacion",No,No
31,Norte,Salta,Vivienda alquilada por temporada,"Esparcimiento, ocio, recreacion",No,No
32,Norte,Salta,Vivienda alquilada por temporada,"Esparcimiento, ocio, recreacion",No,No
33,Norte,Salta,Vivienda alquilada por temporada,"Esparcimiento, ocio, recreacion",No,No
34,Litoral,Gran Santa Fe,"Hotel 4 y 5 estrellas, apart hotel o similares",Estudios y formación,No,No
35,Litoral,Gran Resistencia,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
36,Litoral,Gran Rosario,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
37,Litoral,Gran Rosario,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",No,Si
38,Cuyo,Gran San Juan,Vivienda de familiares o amigos que  residen en ella,"Esparcimiento, ocio, recreacion",No,Si
39,Cuyo,Gran San Juan,Vivienda de familiares o amigos que  residen en ella,"Esparcimiento, ocio, recreacion",No,Si
40,Litoral,Gran Rosario,"Hotel u hostería hasta 3 estrellas (o categoria desconocida), hospedaje residencial, cabania o bungalow, albergue, etc.","Esparcimiento, ocio, recreacion",Si,Si
